book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Job,1,9,163,יהוה,,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],False
Job,1,9,164,ויאמר,,και ειπεν,False
Job,1,9,165,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],את,εναντιον,True
Job,1,9,166,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],יהוה,του κυριου,True
Job,1,9,167,החנם,,μη δωρεαν,False
Job,1,9,168,ירא,,σεβεται,False
Job,1,9,169,איוב,,ιωβ,False
Job,1,9,170,אלהים,,τον θεον,False
Job,1,10,171,הלא,,ου,False
Job,1,10,172,*את **אתה,,συ,False
Job,1,10,173,שכת,,περιεφραξας,False
Job,1,10,174,בעדו,,τα εξω αυτου,False
Job,1,10,175,ובעד,,και τα εσω,False
Job,1,10,176,ביתו,,της οικιας αυτου,False
Job,1,10,177,ובעד,,και τα εξω,False
Job,1,10,178,כל,,παντων,False
Job,1,10,179,אשר,,των,False
Job,1,10,180,לו,,οντων αυτω,False
Job,1,10,181,מסביב,,κυκλω,False
Job,1,10,182,מעשה,,τα εργα,False
Job,1,10,183,ידיו,,των χειρων αυτου,False
Job,1,10,184,ברכת,,ευλογησας,False
Job,1,10,185,ומקנהו,,και τα κτηνη αυτου,False
Job,1,10,186,פרץ,,πολλα εποιησας,False
Job,1,10,187,בארץ,,επι της γης,False
Job,1,11,188,ואולם,,αλλα,False
Job,1,11,189,שלח נא,,αποστειλον,False
Job,1,11,190,ידך,,την χειρα σου,False
Job,1,11,191,וגע,,και αψαι,False
Job,1,11,192,בכל,,παντων,False
Job,1,11,193,אשר,,ων,False
Job,1,11,194,לו,,εχει,False
Job,1,11,195,אם לא,,ει μην,False
Job,1,11,196,על,,εις,False
Job,1,11,197,פניך,,προσωπον,False
Job,1,11,198,יברכך,,σε ευλογησει,False
Job,1,12,199,ויאמר,,τοτε ειπεν,False
Job,1,12,200,יהוה,,ο κυριος,False
Job,1,12,201,אל השטן,,τω διαβολω,False
Job,1,12,202,הנה,,ιδου,False
Job,1,12,203,כל,,παντα,False
Job,1,12,204,אשר,,οσα,False
Job,1,12,205,לו,,εστιν αυτω,False
Job,1,12,206,•^[Element 'added' in the Greek (plus in the LXX).],,διδωμι,True
Job,1,12,207,בידך,,εν τη χειρι σου,False
Job,1,12,208,רק,,αλλα,False
Job,1,12,209,אליו,,αυτου,False
Job,1,12,210,אל,,μη,False
Job,1,12,211,תשלח ידך,,αψη,False
Job,1,12,212,ויצא,,και εξηλθεν,False
Job,1,12,213,השטן,,ο διαβολος,False
Job,1,12,214,מעם פני,,παρα,False
Job,1,12,215,יהוה,,του κυριου,False
Job,1,13,216,ויהי,,και ην ως,False
Job,1,13,217,היום,,η ημερα,False
Job,1,13,218,•^[Element 'added' in the Greek (plus in the LXX).],,αυτη,True
Job,1,13,219,ובניו,,οι υιοι ιωβ,False
Job,1,13,220,ובנתיו,,και αι θυγατερες αυτου,False
Job,1,13,221,אכלים,,•^[Hebrew counterpart lacking in the LXX (minus in the LXX).],True
Job,1,13,222,ושתים,,επινον,False
Job,1,13,223,יין,,οινον,False
Job,1,13,224,בבית,,εν τη οικια,False
Job,1,13,225,אחיהם,,του αδελφου αυτων,False
Job,1,13,226,הבכור,,του πρεσβυτερου,False
Job,1,14,227,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,και,False
